Provinsi,Tahun,Padi_Ton
SULAWESI TENGGARA,2015,660720.00
SULAWESI TENGGARA,2018,538876.14
SULAWESI TENGGARA,2019,519706.93
SULAWESI TENGGARA,2020,532773.49
SULAWESI TENGGARA,2021,540292.61
GORONTALO,2000,
GORONTALO,2001,158871.00
GORONTALO,2002,153222.00
GORONTALO,2003,156158.00
GORONTALO,2004,163094.00
GORONTALO,2005,167152.00
GORONTALO,2006,192583.00
GORONTALO,2007,200421.00
GORONTALO,2008,237873.00
GORONTALO,2009,256934.00
GORONTALO,2010,253563.00
GORONTALO,2011,273921.00
GORONTALO,2012,245786.00
GORONTALO,2013,295913.00
GORONTALO,2014,314704.00
GORONTALO,2015,331220.00
GORONTALO,2018,269540.40
GORONTALO,2019,231211.11
GORONTALO,2020,227627.20
GORONTALO,2021,229535.13
SULAWESI BARAT,2000,
SULAWESI BARAT,2001,
SULAWESI BARAT,2002,
SULAWESI BARAT,2003,
SULAWESI BARAT,2004,
SULAWESI BARAT,2005,253886.00
SULAWESI BARAT,2006,301616.00
SULAWESI BARAT,2007,312676.00
SULAWESI BARAT,2008,343221.00
SULAWESI BARAT,2009,310706.00
SULAWESI BARAT,2010,362900.00
SULAWESI BARAT,2011,365683.00
SULAWESI BARAT,2012,412338.00
SULAWESI BARAT,2013,445030.00
SULAWESI BARAT,2014,449621.00
SULAWESI BARAT,2015,461844.00
SULAWESI BARAT,2018,316478.37
SULAWESI BARAT,2019,300142.22
SULAWESI BARAT,2020,345050.37
SULAWESI BARAT,2021,323426.53
MALUKU,2000,36288.00
MALUKU,2001,33885.00
MALUKU,2002,12033.00
MALUKU,2003,31189.00
MALUKU,2004,36148.00
MALUKU,2005,37239.00
MALUKU,2006,49833.00
MALUKU,2007,57132.00
MALUKU,2008,75826.00
MALUKU,2009,89875.00
MALUKU,2010,83109.00
MALUKU,2011,87468.00
MALUKU,2012,84271.00
MALUKU,2013,101835.00
MALUKU,2014,102761.00
MALUKU,2015,117791.00
MALUKU,2018,116228.86
MALUKU,2019,98254.75
MALUKU,2020,110447.30
MALUKU,2021,115067.74
MALUKU UTARA,2000,
MALUKU UTARA,2001,
MALUKU UTARA,2002,
MALUKU UTARA,2003,60131.00
MALUKU UTARA,2004,51800.00
MALUKU UTARA,2005,57945.00
MALUKU UTARA,2006,59215.00
MALUKU UTARA,2007,48531.00
MALUKU UTARA,2008,51599.00
MALUKU UTARA,2009,46253.00
MALUKU UTARA,2010,55401.00
MALUKU UTARA,2011,61430.00
MALUKU UTARA,2012,65686.00
MALUKU UTARA,2013,72445.00
MALUKU UTARA,2014,72074.00
MALUKU UTARA,2015,75265.00
MALUKU UTARA,2018,49047.11
MALUKU UTARA,2019,37945.64
MALUKU UTARA,2020,43382.85
MALUKU UTARA,2021,28980.60
PAPUA BARAT,2000,
PAPUA BARAT,2001,
PAPUA BARAT,2002,
PAPUA BARAT,2003,
PAPUA BARAT,2004,
PAPUA BARAT,2005,24702.00
PAPUA BARAT,2006,27073.00
PAPUA BARAT,2007,28204.00
PAPUA BARAT,2008,39537.00
PAPUA BARAT,2009,36985.00
PAPUA BARAT,2010,34254.00
PAPUA BARAT,2011,29304.00
PAPUA BARAT,2012,30245.00
PAPUA BARAT,2013,29912.00
PAPUA BARAT,2014,27665.00
PAPUA BARAT,2015,30219.00
PAPUA BARAT,2018,24967.13
PAPUA BARAT,2019,29943.56
PAPUA BARAT,2020,24378.33
PAPUA BARAT,2021,25290.61
PAPUA,2000,81534.00
PAPUA,2001,75031.00
PAPUA,2002,73123.00
PAPUA,2003,57889.00
PAPUA,2004,63367.00
PAPUA,2005,60810.00
PAPUA,2006,68319.00
PAPUA,2007,81678.00
PAPUA,2008,85699.00
PAPUA,2009,98511.00
PAPUA,2010,102610.00
PAPUA,2011,115437.00
PAPUA,2012,138032.00
PAPUA,2013,169791.00
PAPUA,2014,196015.00
PAPUA,2015,181769.00
PAPUA,2018,223119.42
PAPUA,2019,235339.51
PAPUA,2020,166002.30
PAPUA,2021,248358.99
