Provinsi,Tahun,Daging_Ayam_Petelur_Ton
SULAWESI TENGAH,2000,196
SULAWESI TENGAH,2001,161
SULAWESI TENGAH,2002,229
SULAWESI TENGAH,2003,178
SULAWESI TENGAH,2004,178
SULAWESI TENGAH,2005,229
SULAWESI TENGAH,2006,207
SULAWESI TENGAH,2007,528
SULAWESI TENGAH,2008,237
SULAWESI TENGAH,2009,226.72
SULAWESI TENGAH,2010,222.33
SULAWESI TENGAH,2011,160
SULAWESI TENGAH,2012,458
SULAWESI TENGAH,2013,663
SULAWESI TENGAH,2014,776
SULAWESI TENGAH,2015,731.8
SULAWESI TENGAH,2016,944.68
SULAWESI TENGAH,2017,1552.4
SULAWESI TENGAH,2018,415.53
SULAWESI TENGAH,2019,456.08
SULAWESI TENGAH,2020,644.08
SULAWESI SELATAN,2000,1464
SULAWESI SELATAN,2001,1537
SULAWESI SELATAN,2002,1439
SULAWESI SELATAN,2003,0
SULAWESI SELATAN,2004,0
SULAWESI SELATAN,2005,1547
SULAWESI SELATAN,2006,2297
SULAWESI SELATAN,2007,2241
SULAWESI SELATAN,2008,1205
SULAWESI SELATAN,2009,2999.1
SULAWESI SELATAN,2010,1371.06
SULAWESI SELATAN,2011,1441
SULAWESI SELATAN,2012,1824
SULAWESI SELATAN,2013,1891
SULAWESI SELATAN,2014,7679
SULAWESI SELATAN,2015,8488.14
SULAWESI SELATAN,2016,8806.17
SULAWESI SELATAN,2017,8275.99
SULAWESI SELATAN,2018,9320.39
SULAWESI SELATAN,2019,8717.69
SULAWESI SELATAN,2020,8739.49
SULAWESI TENGGARA,2000,17
SULAWESI TENGGARA,2001,14
SULAWESI TENGGARA,2002,10
SULAWESI TENGGARA,2003,17
SULAWESI TENGGARA,2004,21
SULAWESI TENGGARA,2005,32
SULAWESI TENGGARA,2006,48
SULAWESI TENGGARA,2007,57
SULAWESI TENGGARA,2008,50
SULAWESI TENGGARA,2009,0
SULAWESI TENGGARA,2010,0
SULAWESI TENGGARA,2011,88
SULAWESI TENGGARA,2012,110
SULAWESI TENGGARA,2013,108
SULAWESI TENGGARA,2014,116
SULAWESI TENGGARA,2015,148.28
SULAWESI TENGGARA,2016,215.74
SULAWESI TENGGARA,2017,266.07
SULAWESI TENGGARA,2018,320.61
SULAWESI TENGGARA,2019,339.31
SULAWESI TENGGARA,2020,355.65
GORONTALO,2000,
GORONTALO,2001,115
GORONTALO,2002,172
GORONTALO,2003,214
GORONTALO,2004,22
GORONTALO,2005,40
GORONTALO,2006,68
GORONTALO,2007,89
GORONTALO,2008,99
GORONTALO,2009,98.75
GORONTALO,2010,166.61
GORONTALO,2011,149
GORONTALO,2012,209
GORONTALO,2013,237
GORONTALO,2014,270
GORONTALO,2015,275.18
GORONTALO,2016,270.93
GORONTALO,2017,278.22
GORONTALO,2018,282.58
GORONTALO,2019,305.77
GORONTALO,2020,310.76
SULAWESI BARAT,2000,
SULAWESI BARAT,2001,
SULAWESI BARAT,2002,
SULAWESI BARAT,2003,
SULAWESI BARAT,2004,
SULAWESI BARAT,2005,126
SULAWESI BARAT,2006,133
SULAWESI BARAT,2007,20
SULAWESI BARAT,2008,3
SULAWESI BARAT,2009,5.98
SULAWESI BARAT,2010,1.71
SULAWESI BARAT,2011,58
SULAWESI BARAT,2012,62
SULAWESI BARAT,2013,75
SULAWESI BARAT,2014,75
SULAWESI BARAT,2015,107.66
SULAWESI BARAT,2016,115.56
SULAWESI BARAT,2017,121.38
SULAWESI BARAT,2018,133.78
SULAWESI BARAT,2019,241.48
SULAWESI BARAT,2020,253.27
MALUKU,2000,
MALUKU,2001,13
MALUKU,2002,13
MALUKU,2003,17
MALUKU,2004,23
MALUKU,2005,3
MALUKU,2006,5
MALUKU,2007,
MALUKU,2008,7
MALUKU,2009,9
MALUKU,2010,10
MALUKU,2011,12
MALUKU,2012,14
MALUKU,2013,4
MALUKU,2014,7
MALUKU,2015,7.01
MALUKU,2016,14.12
MALUKU,2017,21.83
MALUKU,2018,17.92
MALUKU,2019,5.69
MALUKU,2020,5.9
MALUKU UTARA,2000,
MALUKU UTARA,2001,
MALUKU UTARA,2002,
MALUKU UTARA,2003,1000
MALUKU UTARA,2004,1355
MALUKU UTARA,2005,3
MALUKU UTARA,2006,8
MALUKU UTARA,2007,5
MALUKU UTARA,2008,6
MALUKU UTARA,2009,38.14
MALUKU UTARA,2010,39
MALUKU UTARA,2011,11
MALUKU UTARA,2012,10
MALUKU UTARA,2013,38
MALUKU UTARA,2014,16
MALUKU UTARA,2015,14.49
MALUKU UTARA,2016,20.98
MALUKU UTARA,2017,25.97
MALUKU UTARA,2018,50.96
MALUKU UTARA,2019,21.21
MALUKU UTARA,2020,18.62
PAPUA BARAT,2000,
PAPUA BARAT,2001,
PAPUA BARAT,2002,
PAPUA BARAT,2003,
PAPUA BARAT,2004,
PAPUA BARAT,2005,22
PAPUA BARAT,2006,24
PAPUA BARAT,2007,50
PAPUA BARAT,2008,51
PAPUA BARAT,2009,32.24
PAPUA BARAT,2010,35.25
PAPUA BARAT,2011,47
PAPUA BARAT,2012,21
PAPUA BARAT,2013,46
PAPUA BARAT,2014,51
PAPUA BARAT,2015,53.69
PAPUA BARAT,2016,56.16
PAPUA BARAT,2017,76.24
PAPUA BARAT,2018,106.76
PAPUA BARAT,2019,334.58
PAPUA BARAT,2020,356.38
PAPUA,2000,97
PAPUA,2001,21
PAPUA,2002,38
PAPUA,2003,21
PAPUA,2004,29
PAPUA,2005,42
PAPUA,2006,75
PAPUA,2007,26
PAPUA,2008,6
PAPUA,2009,22.22
PAPUA,2010,24.28
PAPUA,2011,23
PAPUA,2012,16
PAPUA,2013,91
PAPUA,2014,205
PAPUA,2015,262.87
PAPUA,2016,410.6
PAPUA,2017,467.18
PAPUA,2018,541.53
PAPUA,2019,515.5
PAPUA,2020,549.47
