Provinsi,Tahun,Cabai_Merah_Ton
MALUKU,2009,151
MALUKU,2010,466
MALUKU,2011,1262
MALUKU,2012,1451
MALUKU,2013,2163
MALUKU,2014,1890
MALUKU,2015,2011
MALUKU,2016,1443
MALUKU,2017,1611
MALUKU,2018,1864
MALUKU,2019,1470
MALUKU,2020,2035
MALUKU UTARA,2000,
MALUKU UTARA,2001,
MALUKU UTARA,2002,
MALUKU UTARA,2003,156
MALUKU UTARA,2004,348
MALUKU UTARA,2005,420
MALUKU UTARA,2006,433
MALUKU UTARA,2007,387
MALUKU UTARA,2008,369
MALUKU UTARA,2009,370
MALUKU UTARA,2010,357
MALUKU UTARA,2011,573
MALUKU UTARA,2012,578
MALUKU UTARA,2013,1126
MALUKU UTARA,2014,4129
MALUKU UTARA,2015,1595
MALUKU UTARA,2016,1351
MALUKU UTARA,2017,1376
MALUKU UTARA,2018,1214
MALUKU UTARA,2019,4548
MALUKU UTARA,2020,4170
PAPUA BARAT,2000,
PAPUA BARAT,2001,
PAPUA BARAT,2002,
PAPUA BARAT,2003,
PAPUA BARAT,2004,
PAPUA BARAT,2005,1118
PAPUA BARAT,2006,819
PAPUA BARAT,2007,
PAPUA BARAT,2008,3119
PAPUA BARAT,2009,2576
PAPUA BARAT,2010,1178
PAPUA BARAT,2011,1084
PAPUA BARAT,2012,1093
PAPUA BARAT,2013,234
PAPUA BARAT,2014,270
PAPUA BARAT,2015,281
PAPUA BARAT,2016,837
PAPUA BARAT,2017,100
PAPUA BARAT,2018,252
PAPUA BARAT,2019,1168
PAPUA BARAT,2020,812
PAPUA,2000,
PAPUA,2001,
PAPUA,2002,
PAPUA,2003,5302
PAPUA,2004,
PAPUA,2005,306
PAPUA,2006,559
PAPUA,2007,
PAPUA,2008,2027
PAPUA,2009,3874
PAPUA,2010,3302
PAPUA,2011,3633
PAPUA,2012,3649
PAPUA,2013,2679
PAPUA,2014,3088
PAPUA,2015,1954
PAPUA,2016,2889
PAPUA,2017,2453
PAPUA,2018,3412
PAPUA,2019,3033
PAPUA,2020,1993
