Provinsi,Tahun,Daging_Sapi_Ton
SULAWESI UTARA,2002,3730
SULAWESI UTARA,2003,2794
SULAWESI UTARA,2004,3861
SULAWESI UTARA,2005,4150
SULAWESI UTARA,2006,4371.4
SULAWESI UTARA,2007,4242
SULAWESI UTARA,2008,4326
SULAWESI UTARA,2009,4571
SULAWESI UTARA,2010,4386
SULAWESI UTARA,2011,4446
SULAWESI UTARA,2012,4501
SULAWESI UTARA,2013,4565
SULAWESI UTARA,2014,4587
SULAWESI UTARA,2015,3610.85
SULAWESI UTARA,2016,3431.24
SULAWESI UTARA,2017,3496.61
SULAWESI UTARA,2018,3518.33
SULAWESI UTARA,2019,3693.68
SULAWESI UTARA,2020,3484.2
SULAWESI TENGAH,2000,3803
SULAWESI TENGAH,2001,3237
SULAWESI TENGAH,2002,3023
SULAWESI TENGAH,2003,2623
SULAWESI TENGAH,2004,2499
SULAWESI TENGAH,2005,2988
SULAWESI TENGAH,2006,3218.22
SULAWESI TENGAH,2007,3265
SULAWESI TENGAH,2008,2640
SULAWESI TENGAH,2009,3359
SULAWESI TENGAH,2010,3672
SULAWESI TENGAH,2011,3058
SULAWESI TENGAH,2012,4250
SULAWESI TENGAH,2013,4603
SULAWESI TENGAH,2014,5131
SULAWESI TENGAH,2015,4884.19
SULAWESI TENGAH,2016,5207.47
SULAWESI TENGAH,2017,4541.63
SULAWESI TENGAH,2018,4693.39
SULAWESI TENGAH,2019,4790.41
SULAWESI TENGAH,2020,5010.52
SULAWESI SELATAN,2000,10559
SULAWESI SELATAN,2001,10830
SULAWESI SELATAN,2002,11570
SULAWESI SELATAN,2003,10997
SULAWESI SELATAN,2004,12169
SULAWESI SELATAN,2005,9990.83
SULAWESI SELATAN,2006,23514.51
SULAWESI SELATAN,2007,11160
SULAWESI SELATAN,2008,9504
SULAWESI SELATAN,2009,11323
SULAWESI SELATAN,2010,9056
SULAWESI SELATAN,2011,11026
SULAWESI SELATAN,2012,12725
SULAWESI SELATAN,2013,14518
SULAWESI SELATAN,2014,17214
SULAWESI SELATAN,2015,19365.18
SULAWESI SELATAN,2016,18450.58
SULAWESI SELATAN,2017,19876.27
SULAWESI SELATAN,2018,19696.5
SULAWESI SELATAN,2019,17926.13
SULAWESI SELATAN,2020,18184.22
SULAWESI TENGGARA,2000,4301
SULAWESI TENGGARA,2001,4417
SULAWESI TENGGARA,2002,3964
SULAWESI TENGGARA,2003,4083
SULAWESI TENGGARA,2004,4674
SULAWESI TENGGARA,2005,4154.94
SULAWESI TENGGARA,2006,2649.14
SULAWESI TENGGARA,2007,3148
SULAWESI TENGGARA,2008,3555
SULAWESI TENGGARA,2009,3737
SULAWESI TENGGARA,2010,3902
SULAWESI TENGGARA,2011,2709
SULAWESI TENGGARA,2012,3328
SULAWESI TENGGARA,2013,3849
SULAWESI TENGGARA,2014,4374
SULAWESI TENGGARA,2015,3692.96
SULAWESI TENGGARA,2016,4412.7
SULAWESI TENGGARA,2017,5103.79
SULAWESI TENGGARA,2018,6474.83
SULAWESI TENGGARA,2019,4437.75
SULAWESI TENGGARA,2020,4405.09
GORONTALO,2000,
GORONTALO,2001,428
GORONTALO,2002,505
GORONTALO,2003,583
GORONTALO,2004,72113
GORONTALO,2005,1911
GORONTALO,2006,905.93
GORONTALO,2007,2909
GORONTALO,2008,2892
GORONTALO,2009,3063
GORONTALO,2010,3926
GORONTALO,2011,3985
GORONTALO,2012,4347
GORONTALO,2013,3617
GORONTALO,2014,2460
GORONTALO,2015,3006.22
GORONTALO,2016,3392.36
GORONTALO,2017,3707.86
GORONTALO,2018,4250.17
GORONTALO,2019,3830.06
GORONTALO,2020,1924.48
SULAWESI BARAT,2000,
SULAWESI BARAT,2001,
SULAWESI BARAT,2002,
SULAWESI BARAT,2003,
SULAWESI BARAT,2004,
SULAWESI BARAT,2005,983
SULAWESI BARAT,2006,1032
SULAWESI BARAT,2007,544
SULAWESI BARAT,2008,1594
SULAWESI BARAT,2009,1361
SULAWESI BARAT,2010,1795
SULAWESI BARAT,2011,3917
SULAWESI BARAT,2012,3053
SULAWESI BARAT,2013,2911
SULAWESI BARAT,2014,1988
SULAWESI BARAT,2015,2792.32
SULAWESI BARAT,2016,2853.07
SULAWESI BARAT,2017,2854.43
SULAWESI BARAT,2018,2266.15
SULAWESI BARAT,2019,2115.86
SULAWESI BARAT,2020,2174.75
MALUKU,2000,2513
MALUKU,2001,1382
MALUKU,2002,1382
MALUKU,2003,1451
MALUKU,2004,1459
MALUKU,2005,1642
MALUKU,2006,1612.95
MALUKU,2007,1450
MALUKU,2008,1261
MALUKU,2009,1338
MALUKU,2010,1420
MALUKU,2011,1320
MALUKU,2012,1496
MALUKU,2013,2687
MALUKU,2014,1592
MALUKU,2015,2109.71
MALUKU,2016,1994.44
MALUKU,2017,2185.98
MALUKU,2018,2122.73
MALUKU,2019,2201
MALUKU,2020,2193.05
MALUKU UTARA,2000,
MALUKU UTARA,2001,1009
MALUKU UTARA,2002,1461
MALUKU UTARA,2003,1167
MALUKU UTARA,2004,0
MALUKU UTARA,2005,897
MALUKU UTARA,2006,1151.39
MALUKU UTARA,2007,859
MALUKU UTARA,2008,1110
MALUKU UTARA,2009,223
MALUKU UTARA,2010,243
MALUKU UTARA,2011,274
MALUKU UTARA,2012,578
MALUKU UTARA,2013,876
MALUKU UTARA,2014,999
MALUKU UTARA,2015,1192.24
MALUKU UTARA,2016,1499.22
MALUKU UTARA,2017,1560.58
MALUKU UTARA,2018,939.89
MALUKU UTARA,2019,959.56
MALUKU UTARA,2020,860.04
PAPUA BARAT,2000,
PAPUA BARAT,2001,
PAPUA BARAT,2002,
PAPUA BARAT,2003,
PAPUA BARAT,2004,0
PAPUA BARAT,2005,600
PAPUA BARAT,2006,758.84
PAPUA BARAT,2007,828
PAPUA BARAT,2008,1594
PAPUA BARAT,2009,1696
PAPUA BARAT,2010,1899
PAPUA BARAT,2011,2316
PAPUA BARAT,2012,2533
PAPUA BARAT,2013,4077
PAPUA BARAT,2014,3658
PAPUA BARAT,2015,3809.2
PAPUA BARAT,2016,3957.99
PAPUA BARAT,2017,2700.74
PAPUA BARAT,2018,1914.77
PAPUA BARAT,2019,1941.93
PAPUA BARAT,2020,1969.68
PAPUA,2000,3850
PAPUA,2001,1753
PAPUA,2002,2172
PAPUA,2003,1810
PAPUA,2004,2071
PAPUA,2005,1432
