Provinsi,Tahun,Daging_Ayam_Pedaging_Ton
KALIMANTAN UTARA,2018,995.06
KALIMANTAN UTARA,2019,5162.06
KALIMANTAN UTARA,2020,4837.48
SULAWESI UTARA,2000,4451
SULAWESI UTARA,2001,4920
SULAWESI UTARA,2002,4424
SULAWESI UTARA,2003,4292
SULAWESI UTARA,2004,1623
SULAWESI UTARA,2005,5606
SULAWESI UTARA,2006,1324
SULAWESI UTARA,2007,5714
SULAWESI UTARA,2008,6775
SULAWESI UTARA,2009,2549
SULAWESI UTARA,2010,5090.19
SULAWESI UTARA,2011,5164
SULAWESI UTARA,2012,5216
SULAWESI UTARA,2013,5468
SULAWESI UTARA,2014,5489
SULAWESI UTARA,2015,7195.04
SULAWESI UTARA,2016,7309.94
SULAWESI UTARA,2017,13807.8
SULAWESI UTARA,2018,13150.23
SULAWESI UTARA,2019,10818.88
SULAWESI UTARA,2020,10138.61
SULAWESI TENGAH,2000,842
SULAWESI TENGAH,2001,6834
SULAWESI TENGAH,2002,1148
SULAWESI TENGAH,2003,595
SULAWESI TENGAH,2004,2189
SULAWESI TENGAH,2005,2005
SULAWESI TENGAH,2006,2820
SULAWESI TENGAH,2007,7109
SULAWESI TENGAH,2008,5553
SULAWESI TENGAH,2009,6477.47
SULAWESI TENGAH,2010,6684.66
SULAWESI TENGAH,2011,5952
SULAWESI TENGAH,2012,8035
SULAWESI TENGAH,2013,8070
SULAWESI TENGAH,2014,8177
SULAWESI TENGAH,2015,7612.99
SULAWESI TENGAH,2016,8854.04
SULAWESI TENGAH,2017,8630.98
SULAWESI TENGAH,2018,8745.14
SULAWESI TENGAH,2019,6086.68
SULAWESI TENGAH,2020,5703.96
SULAWESI SELATAN,2000,1347
SULAWESI SELATAN,2001,1406
SULAWESI SELATAN,2002,2069
SULAWESI SELATAN,2003,4271
SULAWESI SELATAN,2004,4255
SULAWESI SELATAN,2005,10215
SULAWESI SELATAN,2006,10538
SULAWESI SELATAN,2007,5445
SULAWESI SELATAN,2008,9768
SULAWESI SELATAN,2009,10709.82
SULAWESI SELATAN,2010,10692.34
SULAWESI SELATAN,2011,11594
SULAWESI SELATAN,2012,11073
SULAWESI SELATAN,2013,11368
SULAWESI SELATAN,2014,50829
SULAWESI SELATAN,2015,53664.33
SULAWESI SELATAN,2016,48861.62
SULAWESI SELATAN,2017,106406.44
SULAWESI SELATAN,2018,110827.08
SULAWESI SELATAN,2019,84171.13
SULAWESI SELATAN,2020,78878.6
SULAWESI TENGGARA,2000,83
SULAWESI TENGGARA,2001,78
SULAWESI TENGGARA,2002,498
SULAWESI TENGGARA,2003,558
SULAWESI TENGGARA,2004,558
SULAWESI TENGGARA,2005,579
SULAWESI TENGGARA,2006,887
SULAWESI TENGGARA,2007,968
SULAWESI TENGGARA,2008,1101
SULAWESI TENGGARA,2009,822.04
SULAWESI TENGGARA,2010,977.64
SULAWESI TENGGARA,2011,948
SULAWESI TENGGARA,2012,1002
SULAWESI TENGGARA,2013,4486
SULAWESI TENGGARA,2014,3559
SULAWESI TENGGARA,2015,3600.95
SULAWESI TENGGARA,2016,3337.45
SULAWESI TENGGARA,2017,3259.8
SULAWESI TENGGARA,2018,4544.63
SULAWESI TENGGARA,2019,4184.41
SULAWESI TENGGARA,2020,3921.3
GORONTALO,2000,0
GORONTALO,2001,45
GORONTALO,2002,70
GORONTALO,2003,107
GORONTALO,2004,378
GORONTALO,2005,405
GORONTALO,2006,348
GORONTALO,2007,1805
GORONTALO,2008,1221
GORONTALO,2009,1221.21
GORONTALO,2010,1419.06
GORONTALO,2011,218
GORONTALO,2012,485
GORONTALO,2013,577
GORONTALO,2014,1450
GORONTALO,2015,2658.28
GORONTALO,2016,3899.51
GORONTALO,2017,2515.68
GORONTALO,2018,2901.92
GORONTALO,2019,3748.38
GORONTALO,2020,3512.69
SULAWESI BARAT,2000,0
SULAWESI BARAT,2001,0
SULAWESI BARAT,2002,
SULAWESI BARAT,2003,
SULAWESI BARAT,2004,
SULAWESI BARAT,2005,677
SULAWESI BARAT,2006,710
SULAWESI BARAT,2007,61
SULAWESI BARAT,2008,69
SULAWESI BARAT,2009,986.68
SULAWESI BARAT,2010,244.69
SULAWESI BARAT,2011,786
SULAWESI BARAT,2012,795
SULAWESI BARAT,2013,1678
SULAWESI BARAT,2014,1683
SULAWESI BARAT,2015,1717.52
SULAWESI BARAT,2016,1428.92
SULAWESI BARAT,2017,1587.38
SULAWESI BARAT,2018,7389.2
SULAWESI BARAT,2019,2647.47
SULAWESI BARAT,2020,2481
MALUKU,2000,0
MALUKU,2001,30
MALUKU,2002,30
MALUKU,2003,36
MALUKU,2004,69
MALUKU,2005,67
MALUKU,2006,73
MALUKU,2007,107
MALUKU,2008,102
MALUKU,2009,111
MALUKU,2010,117
MALUKU,2011,125
MALUKU,2012,112
MALUKU,2013,8
MALUKU,2014,10
MALUKU,2015,67.3
MALUKU,2016,65.47
MALUKU,2017,215.87
MALUKU,2018,289
MALUKU,2019,746.26
MALUKU,2020,699.33
MALUKU UTARA,2000,0
MALUKU UTARA,2001,0
MALUKU UTARA,2002,296
MALUKU UTARA,2003,632
MALUKU UTARA,2004,632
MALUKU UTARA,2005,540
MALUKU UTARA,2006,1723
MALUKU UTARA,2007,122
MALUKU UTARA,2008,828
MALUKU UTARA,2009,333.75
MALUKU UTARA,2010,343
MALUKU UTARA,2011,1021
MALUKU UTARA,2012,244
MALUKU UTARA,2013,65
MALUKU UTARA,2014,374
MALUKU UTARA,2015,421.06
MALUKU UTARA,2016,530.81
MALUKU UTARA,2017,44.18
MALUKU UTARA,2018,123.4
MALUKU UTARA,2019,139.45
MALUKU UTARA,2020,130.68
PAPUA BARAT,2000,0
PAPUA BARAT,2001,0
PAPUA BARAT,2002,
PAPUA BARAT,2003,
PAPUA BARAT,2004,
PAPUA BARAT,2005,614
PAPUA BARAT,2006,310
PAPUA BARAT,2007,758
PAPUA BARAT,2008,809
PAPUA BARAT,2009,414.72
PAPUA BARAT,2010,436.31
PAPUA BARAT,2011,588
PAPUA BARAT,2012,313
PAPUA BARAT,2013,525
PAPUA BARAT,2014,1025
PAPUA BARAT,2015,1598.8
PAPUA BARAT,2016,1300.09
PAPUA BARAT,2017,5499.27
PAPUA BARAT,2018,678.6
PAPUA BARAT,2019,1103.73
PAPUA BARAT,2020,1034.32
PAPUA,2000,1331
PAPUA,2001,229
PAPUA,2002,346
PAPUA,2003,933
PAPUA,2004,794
PAPUA,2005,416
PAPUA,2006,765
PAPUA,2007,1375
PAPUA,2008,1370
PAPUA,2009,2655.57
PAPUA,2010,2662.74
PAPUA,2011,2277
PAPUA,2012,2284
PAPUA,2013,2284
PAPUA,2014,2204
PAPUA,2015,3609.8
PAPUA,2016,5855.96
PAPUA,2017,7661.57
PAPUA,2018,8468.69
PAPUA,2019,7091.12
PAPUA,2020,6645.25
